
========== REPORT ==========
[OK] Totals | Stores=35 | Categories=122 | Unique=25328 | New=0 | Restored=1 | Removed=6 | PriceChanges=19 | Runtime=  3065s

FAILED CATEGORIES (3)
  ✗ Elbow Liquor | Whisky
  ✗ Elbow Liquor | Rum
  ✗ Elbow Liquor | Gin

~ BSW | Whisky                      | Kavalan Podium Taiwanese Single Malt Whisky 840842  $150.00 -> $175.00 (Cheaper at CLB Spirits)
  https://www.bswliquor.com/products/kavalan-podium
~ BSW | Whisky                      | Old Grand-Dad Bonded Kentucky Straight Bourbon 765628  $36.99 -> $37.99 (Cheaper at Lime Liquor)
  https://www.bswliquor.com/products/old-grand-dad-bourbon
~ BSW | Whisky                      | Rebel 100 Kentucky Straight Bourbon 876372  $40.99 -> $41.99 (Cheaper at Lime Liquor)
  https://www.bswliquor.com/products/rebel-100-ksbw
~ BSW | Whisky                      | Stockman'S Whiskey 150337  $79.99 -> $83.99
  https://www.bswliquor.com/products/stockmans-whiskey
~ BSW | Whisky                      | The Nikka Nine Decades 90th Anniversary Limited Edition Japanese Whisky 111821  $2,595.00 -> $2,695.00 (Cheaper at Craft Cellars)
  https://www.bswliquor.com/products/the-nikka-nine-decades-90th-anniversary
~ BSW | Whisky                      | Woodford Reserve Bourbon Gift Pack With Rocks Glasses 795771  $62.99 -> $64.99 (Cheaper at CLB Spirits)
  https://www.bswliquor.com/products/woodford-reserve-w-rock-glasses

======== END REPORT ========
